"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Actinodium cunninghamii","Actinodium cunninghamii","Australia","Australasia","No","Yes","Yes","","","","",""
"Agathis australis","Agathis australis","New Zealand","Australasia","No","Yes","Yes","","","","",""
"Agonis flexuosa","Agonis flexuosa","Australia","Australasia","No","Yes","Yes","","","","",""
"Agonis theiformis","Agonis theiformis","Australia","Australasia","No","Yes","Yes","","","","",""
"Alnus alnobetula","Alnus alnobetula","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Middle Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southwestern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southeastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","New Zealand","Australasia","Yes","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Mongolia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
